Id,MateriaPrima,Quantidade,Codigo,Localizacao,Situacao,Data,ValorUnit,Medida
1,"Fibra de Carbono",350,MP1050,"Armazém D",Disponível,08/11/2023,3000,Bloco
2,"Liga de Aço",250,MP1020,"Armazém B",Disponível,31/01/2022,1000,Kilos
3,"Liga de Titânio",450,MP1030,"Armazém D",Obsoleto,09/02/2023,2000,Bloco
4,"Fibra de Carbono",150,MP1050,"Armazém A",Disponível,07/01/2022,3000,Bloco
5,HoneyKomb,50,MP1090,"Armazém B",Depreciado,16/02/2023,800,Bloco
6,"Liga de Titânio",50,MP1030,"Armazém D","Em processo",26/01/2023,2000,Bloco
7,"Liga de Aluminio 7075",150,MP7075,"Armazém C",Depreciado,29/05/2023,3500,Kilos
8,"Liga de Aluminio 7075",500,MP7075,"Armazém C",Obsoleto,28/06/2023,3500,Kilos
9,Espuma,100,MP1080,"Armazém A",Disponível,25/06/2023,500,Metro
10,HoneyKomb,50,MP1090,"Armazém C",Obsoleto,30/07/2022,800,Bloco
11,"Liga de Titânio",150,MP1030,"Armazém C",Depreciado,04/01/2023,2000,Bloco
12,"Fibra de vidro ",100,MP1040,"Armazém D",Depreciado,21/11/2023,500,Unidade
13,"Liga de Titânio",350,MP1030,"Armazém C",Disponível,22/02/2023,2000,Bloco
14,"Liga de Aluminio 7075",250,MP7075,"Armazém B",Disponível,25/06/2023,3500,Kilos
15,"Liga de Aluminio 7075",350,MP7075,"Armazém B",Depreciado,23/08/2022,3500,Kilos
16,"Liga de Aço",400,MP1020,"Armazém C",Obsoleto,30/07/2023,1000,Kilos
17,"Liga de Aço",100,MP1020,"Armazém C",Disponível,19/08/2023,1000,Kilos
18,"Fibra de vidro ",150,MP1040,"Armazém C","Em processo",09/05/2022,500,Unidade
19,"Tecido Kevlar",100,MP1070,"Armazém B",Obsoleto,21/04/2023,1500,Metro
20,"Liga de Aluminio 7075",500,MP7075,"Armazém D",Depreciado,27/11/2023,3500,Kilos
21,"Fibra de vidro ",350,MP1040,"Armazém C",Obsoleto,30/05/2023,500,Unidade
22,"Liga de Titânio",150,MP1030,"Armazém C",Depreciado,03/01/2022,2000,Bloco
23,"Liga de Aço",200,MP1020,"Armazém B","Em processo",14/11/2023,1000,Kilos
24,"Liga de Aluminio 7075",200,MP7075,"Armazém C",Obsoleto,22/01/2022,3500,Kilos
25,"Fibra de Carbono",450,MP1050,"Armazém B",Obsoleto,09/11/2023,3000,Bloco
26,Espuma,300,MP1080,"Armazém D","Em processo",01/02/2023,500,Metro
27,"Liga de Aluminio 7075",500,MP7075,"Armazém A",Obsoleto,10/08/2022,3500,Kilos
28,"Liga de Aço",300,MP1020,"Armazém D",Disponível,08/11/2023,1000,Kilos
29,"Liga de Aluminio 7075",450,MP7075,"Armazém C","Em processo",25/01/2023,3500,Kilos
30,"Fibra de Carbono",350,MP1050,"Armazém D",Depreciado,05/03/2022,3000,Bloco
