Id,MateriaPrima,Quantidade,Localizacao,Situacao,Data,ValorUnit,Medida
1,"fibra de carbono",200,"Armazém C",Obsoleto,21/03/2022,3000,Bloco
2,"Resina Epoxi",300,"Armazém A","Em processo",24/12/2022,300,Unidade
3,"Tecido Kevlar",350,"Armazém D",Disponível,01/02/2023,1500,Metro
4,"Liga de Aço",300,"Armazém A",Disponível,11/06/2023,1000,Kilos
5,HoneyKomb,100,"Armazém C","Em processo",25/05/2023,800,Bloco
6,HoneyKomb,400,"Armazém C","Em processo",11/08/2022,800,Bloco
7,"fibra de carbono",100,"Armazém B",Disponível,16/08/2022,3000,Kilos
8,"fibra de carbono",500,"Armazém D","Em processo",02/06/2023,3000,Kilos
9,HoneyKomb,500,"Armazém A",Disponível,06/08/2023,800,Bloco
10,"Liga de Aluminio 7075",500,"Armazém C","Em processo",17/08/2023,3500,Kilos
11,Espuma,200,"Armazém A","Em processo",01/02/2023,500,Metro
12,Espuma,250,"Armazém C",Disponível,09/11/2023,500,Metro
13,"Liga de titânio",50,"Armazém C",Depreciado,22/01/2022,2000,Bloco
14,"Liga de titânio",350,"Armazém C","Em processo",29/07/2022,2000,Bloco
15,"Tecido Kevlar",50,"Armazém A",Obsoleto,11/06/2023,1500,Metro
16,"Resina Epoxi",350,"Armazém C",Depreciado,16/12/2022,300,Unidade
17,"Tecido Kevlar",500,"Armazém D","Em processo",23/08/2022,1500,Metro
18,"Liga de Aluminio 7075",100,"Armazém C",Disponível,03/09/2023,3500,Kilos
19,"Tecido Kevlar",50,"Armazém B",Depreciado,18/03/2023,1500,Metro
20,"Liga de Aço",150,"Armazém D",Disponível,21/11/2023,1000,Kilos
21,"Liga de titânio",100,"Armazém D",Disponível,26/01/2023,2000,Bloco
22,HoneyKomb,250,"Armazém D",Depreciado,03/01/2022,800,Bloco
23,"Liga de Aço",50,"Armazém A",Disponível,03/07/2023,1000,Kilos
24,HoneyKomb,150,"Armazém A",Disponível,25/06/2023,800,Bloco
25,"fibra de carbono",200,"Armazém B",Disponível,31/01/2022,3000,Unidade
26,HoneyKomb,450,"Armazém B",Obsoleto,04/07/2023,800,Bloco
